DATE,PCECC96,WILL5000IND,GDPDEF,TB3MS
2002-01-01,9008.096,35.0703333333333333,80.533,1.7200000000000000
2002-04-01,9054.348,33.6826562500000000,80.821,1.7133333333333333
2002-07-01,9119.949,28.2995312500000000,81.194,1.6433333333333333
2002-10-01,9172.361,28.0789062500000000,81.654,1.3333333333333333
2003-01-01,9215.501,27.4608196721311475,82.025,1.15666666666666666667
2003-04-01,9318.994,30.2185714285714286,82.266,1.04000000000000000000
2003-07-01,9455.687,32.8054687500000000,82.712,0.93000000000000000000
2003-10-01,9519.802,35.0735937500000000,83.201,0.91666666666666666667
2004-01-01,9604.507,37.8479032258064516,83.82,0.91666666666666666667
2004-04-01,9664.264,37.6498387096774194,84.504,1.07666666666666666667
2004-07-01,9771.136,37.0896875000000000,85.056,1.4866666666666667
2004-10-01,9877.416,39.5342187500000000,85.712,2.0066666666666667
2005-01-01,9935.048,40.8437704918032787,86.391,2.5366666666666667
2005-04-01,10047.766,40.7989062500000000,86.996,2.8633333333333333
2005-07-01,10145.297,42.8868750000000000,87.783,3.3600000000000000
2005-10-01,10175.424,43.3473015873015873,88.489,3.8266666666666667
2006-01-01,10288.892,45.7798387096774194,89.107,4.3933333333333333
2006-04-01,10341.016,45.9580952380952381,89.852,4.7033333333333333
2006-07-01,10403.798,46.0446031746031746,90.481,4.9066666666666667
2006-10-01,10504.481,49.9209523809523810,90.815,4.9033333333333333
2007-01-01,10563.261,51.7186885245901639,91.708,4.9833333333333333
2007-04-01,10582.839,54.6146031746031746,92.301,4.7366666666666667
2007-07-01,10642.483,54.4077777777777778,92.776,4.3033333333333333
2007-10-01,10672.794,54.9059375000000000,93.145,3.3900000000000000
2008-01-01,10644.429,49.7659016393442623,93.489,2.0433333333333333
2008-04-01,10661.689,51.0696875000000000,93.99,1.6266666666666667
2008-07-01,10581.856,47.1376562500000000,94.69,1.4933333333333333
2008-10-01,10483.376,34.0090625000000000,94.986,0.29666666666666666667
2009-01-01,10459.698,30.5206557377049180,94.976,0.21333333333333333333
2009-04-01,10417.334,34.2144444444444444,94.838,0.17333333333333333333
2009-07-01,10489.202,38.5362500000000000,94.938,0.15666666666666666667
2009-10-01,10473.645,42.2546875000000000,95.259,0.05666666666666666667
2010-01-01,10525.432,44.1016393442622951,95.499,0.10666666666666666667
2010-04-01,10609.148,45.0125396825396825,95.943,0.14666666666666666667
2010-07-01,10683.342,43.6037500000000000,96.222,0.15666666666666666667
2010-10-01,10753.999,48.4895312500000000,96.763,0.13666666666666666667
2011-01-01,10799.741,52.8622580645161290,97.283,0.12666666666666666667
2011-04-01,10823.654,53.8215873015873016,97.922,0.04666666666666666667
2011-07-01,10866.036,50.0120312500000000,98.553,0.02333333333333333333
2011-10-01,10885.893,50.0142857142857143,98.703,0.01333333333333333333
2012-01-01,10973.303,55.5275806451612903,99.32,0.06666666666666666667
2012-04-01,10989.585,55.6158730158730159,99.713,0.08666666666666666667
2012-07-01,11007.517,57.8914285714285714,100.225,0.10333333333333333333
2012-10-01,11056.852,58.9751612903225806,100.737,0.08666666666666666667
2013-01-01,11114.186,63.6925000000000000,101.139,0.08666666666666666667
2013-04-01,11122.185,67.9179687500000000,101.431,0.05000000000000000000
2013-07-01,11167.422,71.4023437500000000,101.918,0.03333333333333333333
2013-10-01,11263.648,75.8748437500000000,102.517,0.06333333333333333333
2014-01-01,11308.019,79.2890163934426230,102.937,0.04666666666666666667
2014-04-01,11431.831,82.1050793650793651,103.512,0.03333333333333333333
2014-07-01,11554.841,85.5051562500000000,103.957,0.02666666666666666667
2014-10-01,11694.969,87.0364062500000000,104.123,0.02333333333333333333
2015-01-01,11792.119,90.2170491803278689,104.09,0.02666666666666666667
2015-04-01,11885.98,92.4614285714285714,104.675,0.02000000000000000000
2015-07-01,11976.589,89.4489062500000000,105.048,0.04000000000000000000
2015-10-01,12030.223,90.5273437500000000,105.049,0.12333333333333333333
2016-01-01,12124.214,85.9409836065573770,104.941,0.28666666666666666667
2016-04-01,12211.285,92.3132812500000000,105.657,0.25666666666666666667
2016-07-01,12289.063,97.0810937500000000,106.043,0.29666666666666666667
2016-10-01,12365.312,99.0663492063492063,106.551,0.43000000000000000000
2017-01-01,12438.898,106.1627419354838710,107.058,0.59000000000000000000
2017-04-01,12512.899,109.6844444444444444,107.411,0.89000000000000000000
2017-07-01,12586.281,113.1965079365079365,107.973,1.03666666666666666667
2017-10-01,12729.713,120.1415873015873016,108.713,1.20666666666666666667
2018-01-01,12782.902,126.4252459016393443,109.355,1.5600000000000000
2018-04-01,12909.192,126.1946875000000000,110.281,1.8400000000000000
2018-07-01,13019.802,133.7490476190476190,110.767,2.0400000000000000
2018-10-01,13066.302,126.1776190476190476,111.256,2.3166666666666667
2019-01-01,13103.317,128.2390163934426230,111.473,2.3866666666666667
2019-04-01,13241.083,136.1077777777777778,112.164,2.3000000000000000
